Country,Country Proton,Language,Website Language,Brand,International Number,Local Number,E164 Format
Dominican Republic,DOM,Spanish (LATAM),es-mx,Regus,+1 829-946-3992,(829) 946-3992,+18299463992
Ecuador,ECU,Spanish (LATAM),es-mx,Regus,+593 96 284 2244,096 284 2244,+593962842244
Egypt,EGY,Arabic,ar,Regus,+20 2 38277099,02 38277099,+20238277099
El Salvador,SLV,Spanish (LATAM),es-mx,Regus,+503 2230 4837,2230 4837,+50322304837
Estonia,EST,Estonian,et,Regus,+372 5305 0102,5305 0102,+37253050102
Finland,FIN,Finnish,fi,Regus,+358 9 31582947,09 31582947,+358931582947
Finland,FIN,Finnish,fi,Spaces,+358 9 74790012,09 74790012,+358974790012
France,FRA,French,fr,HQ,+33 805 54 38 14,0 805 54 38 14,+33805543814
France,FRA,French,fr,IWG,+33 1 70 63 55 92,01 70 63 55 92,+33170635592
France,FRA,French,fr,Regus,+33 805 54 38 31,0 805 54 38 31,+33805543831
France,FRA,French,fr,Spaces,+33 805 54 38 32,0 805 54 38 32,+33805543832
Georgia,GEO,Georgian,ka,Regus,+995 32 290 08 85,032 290 08 85,+995322900885
Germany,DEU,German,de,HQ,+49 211 36870052,0211 36870052,+4921136870052
Germany,DEU,German,de,IWG,+49 211 36870058,0211 36870058,+4921136870058
Germany,DEU,German,de,No18,+49 211 36870053,0211 36870053,+4921136870053
Germany,DEU,German,de,Regus,+49 211 36870050,0211 36870050,+4921136870050
Germany,DEU,German,de,Signature,+49 211 36870059,0211 36870059,+4921136870059
Germany,DEU,German,de,Spaces,+49 211 36870051,0211 36870051,+4921136870051
Ghana,GHA,English (GB),en-gb,Regus,+233 24 242 6235,024 242 6235,+233242426235
Gibraltar,GIB,English (GB),en-gb,Regus,+350 200 08110,200 08110,+35020008110
Greece,GRC,Greek,el,HQ,+30 800 325 2135,800 325 2135,+308003252135
Greece,GRC,Greek,el,Regus,+30 21 0300 3408,21 0300 3408,+302103003408
Greece,GRC,Greek,el,Spaces,+30 21 0300 3509,21 0300 3509,+302103003509
Guatemala,GTM,Spanish (LATAM),es-mx,Regus,+502 2384 2498,2384 2498,+50223842498
Guyana,GUY,English (US),en-us,Regus,+592 231 2548,231 2548,+5922312548
Honduras,HND,Spanish (LATAM),es-mx,Regus,+504 2280-4809,2280-4809,+50422804809
Hong Kong,HKG,English (GB),en-gb,HQ,+852 800 964 592,800 964 592,+852800964592
Hong Kong,HKG,English (GB),en-gb,Regus,+852 800 963 535,800 963 535,+852800963535
Hong Kong,HKG,English (GB),en-gb,Spaces,+852 2245 3303,2245 3303,+85222453303
Hungary,HUN,Hungarian,hu,Regus,+36 1 655 5994,(06 1) 655 5994,+3616555994
Hungary,HUN,Hungarian,hu,Spaces,+36 1 655 5996,(06 1) 655 5996,+3616555996
Iceland,ISL,Icelandic,is,Regus,+354 527 2787,527 2787,+3545272787
India,IND,English (GB),en-gb,HQ,+91 22 6786 9236,022 6786 9236,+912267869236
India,IND,English (GB),en-gb,IWG,+91 22 6786 9389,022 6786 9389,+912267869389
India,IND,English (GB),en-gb,Regus,+91 33 6136 3848,033 6136 3848,+913361363848
India,IND,English (GB),en-gb,Spaces,+91 33 6136 3847,033 6136 3847,+913361363847
Indonesia,IDN,Indonesian,id,HQ,+62 21 29607446,(021) 29607446,+622129607446
Indonesia,IDN,Indonesian,id,Regus,+62 21 29651122,(021) 29651122,+622129651122
Indonesia,IDN,Indonesian,id,Spaces,+62 21 29607448,(021) 29607448,+622129607448
Ireland,IRL,English (GB),en-gb,HQ,+353 1800 800 861,1800 800 861,+3531800800861
Ireland,IRL,English (GB),en-gb,Regus,+353 1 544 3875,(01) 544 3875,+35315443875
Ireland,IRL,English (GB),en-gb,Spaces,+353 1 544 3876,(01) 544 3876,+35315443876
Israel,ISR,Hebrew,he,Regus,+972 3-763-0044,03-763-0044,+97237630044
Israel,ISR,Hebrew,he,Spaces,+972 3-763-0046,03-763-0046,+97237630046
Italy,ITA,Italian,it,HQ,+39 800 978 365,800 978 365,+39800978365
Italy,ITA,Italian,it,Regus,+39 02 3600 5642,02 3600 5642,+390236005642
Italy,ITA,Italian,it,Signature,+39 800 145 991,800 145 991,+39800145991
Italy,ITA,Italian,it,Spaces,+39 02 8295 9870,02 8295 9870,+390282959870
Ivory Coast,CIV,French,fr,Regus,+225 27 21 3 40797,27 21 3 40797,+2252721340797
Jamaica,JAM,English (US),en-us,Regus,+1 876-627-9015,(876) 627-9015,+18766279015
Japan,JPN,Japanese,ja,OpenOffice,+81 50-5213-0399,050-5213-0399,+815052130399
Japan,JPN,Japanese,ja,Regus,+81 50-5213-0397,050-5213-0397,+815052130397
Japan,JPN,Japanese,ja,Spaces,+81 50-5213-0376,050-5213-0376,+815052130376
Jordan,JOR,Arabic,ar,HQ,+962 6 200 0565,(06) 200 0565,+96262000565
Jordan,JOR,Arabic,ar,Regus,+962 6 200 0543,(06) 200 0543,+96262000543
Kazakhstan,KAZ,Russian,ru,Regus,+7 727 312 3247,8 (727) 312 3247,+77273123247
Kenya,KEN,English (GB),en-gb,HQ,+254 20 5137079,020 5137079,+254205137079
Kenya,KEN,English (GB),en-gb,Regus,+254 20 7640108,020 7640108,+254207640108
Kenya,KEN,English (GB),en-gb,Spaces,+254 20 7640103,020 7640103,+254207640103
Kuwait,KWT,Arabic,ar,Regus,+965 2220 3689,2220 3689,+96522203689
Latvia,LVA,Latvian,lv,Regus,+371 26 669 286,26 669 286,+37126669286
Lebanon,LBN,Arabic,ar,Regus,+961 4 526 257,04 526 257,+9614526257
Libya,LBY,Arabic,ar,Regus,+218 92-8880187,092-8880187,+218928880187
Lithuania,LTU,Lithuanian,lt,Regus,+370 685 14741,(0-685) 14741,+37068514741
Luxembourg,LUX,French,fr,Regus,+352 27 11 31 60,27 11 31 60,+35227113160
Luxembourg,LUX,French,fr,Spaces,+352 27 87 15 97,27 87 15 97,+35227871597
Malaysia,MYS,English (GB),en-gb,HQ,+60 3-2246 6176,03-2246 6176,+60322466176
Malaysia,MYS,English (GB),en-gb,Regus,+60 3-2246 6175,03-2246 6175,+60322466175
Malaysia,MYS,English (GB),en-gb,Signature,+60 3-2246 6170,03-2246 6170,+60322466170
Malaysia,MYS,English (GB),en-gb,Spaces,+60 3-2246 6174,03-2246 6174,+60322466174
Malta,MLT,English (GB),en-gb,Regus,+356 2260 5555,2260 5555,+35622605555
Mauritius,MUS,French,fr,Regus,+230 5869 0135,5869 0135,+23058690135
Mexico,MEX,Spanish (LATAM),es-mx,Regus,+52 55 7100 4452,55 7100 4452,+525571004452
Mexico,MEX,Spanish (LATAM),es-mx,Spaces,+52 55 7100 4453,55 7100 4453,+525571004453
Monaco,MCO,French,fr,Regus,+377 99 99 46 52,99 99 46 52,+37799994652
Montenegro,MNE,English (GB),en-gb,Regus,+382 20 405 893,020 405 893,+38220405893
Morocco,MAR,French,fr,Regus,+212 520-505675,0520-505675,+212520505675
Mozambique,MOZ,Portuguese (Portugal),pt-PT,Regus,+258 21 359 585,21 359 585,+25821359585
Namibia,NAM,English (GB),en-gb,Regus,+264 61 435 8243,061 435 8243,+264614358243
Nepal,NPL,English (GB),en-gb,Regus,+977 980-1208391,980-1208391,+9779801208391
Netherlands,NLD,Dutch,nl,IWG,+31 800 3434307,0800 3434307,+318003434307
Netherlands,NLD,Dutch,nl,No18,+31 20 225 3616,020 225 3616,+31202253616
Netherlands,NLD,Dutch,nl,Regus,+31 20 225 3604,020 225 3604,+31202253604
Netherlands,NLD,Dutch,nl,Signature,+31 20 259 6491,020 259 6491,+31202596491
Netherlands,NLD,Dutch,nl,Spaces,+31 20 225 3614,020 225 3614,+31202253614
Netherlands,NLD,Dutch,nl,TheOfficeOperators,+31 20 225 3617,020 225 3617,+31202253617
New Zealand,NZL,English (GB),en-gb,Regus,+64 9 884 3135,09 884 3135,+6498843135
New Zealand,NZL,English (GB),en-gb,Spaces,+64 9-884 3117,09-884 3117,+6498843117
Nigeria,NGA,English (GB),en-gb,Regus,+2342012279049,201 227 9049,+2342012279049
North Macedonia,MKD,Serbian,sr,Regus,+389 2 551 7596,02 551 7596,+38925517596
Norway,NOR,Norwegian,no,Regus,+47 21 98 48 29,21 98 48 29,+4721984829
Norway,NOR,Norwegian,no,Spaces,+47 21 93 94 25,21 93 94 25,+4721939425
Oman,OMN,Arabic,ar,HQ,+968 24 287988,24 287988,+96824287988
Oman,OMN,Arabic,ar,Regus,+968 24 287983,24 287983,+96824287983
Pakistan,PAK,English (GB),en-gb,HQ,+92 21 35826266,(021) 35826266,+922135826266
Pakistan,PAK,English (GB),en-gb,Regus,+92 21 35826269,(021) 35826269,+922135826269
Panama,PAN,Spanish (LATAM),es-mx,Regus,+507 835-5455,835-5455,+5078355455
Panama,PAN,Spanish (LATAM),es-mx,Spaces,+507 835-5452,835-5452,+5078355452
Paraguay,PRY,Spanish (LATAM),es-mx,Regus,+595 21 728 3061,(021) 728 3061,+595217283061
Peru,PER,Spanish (LATAM),es-mx,Regus,+51 1 6429285,(01) 6429285,+5116429285
Peru,PER,Spanish (LATAM),es-mx,Spaces,+51 1 6429286,(01) 6429286,+5116429286
Philippines,PHL,English (GB),en-gb,HQ,+63 2 8231 2382,(02) 8231 2382,+63282312382
Philippines,PHL,English (GB),en-gb,Regus,+63 2 8231 2380,(02) 8231 2380,+63282312380
Philippines,PHL,English (GB),en-gb,Spaces,+63 2 8231 2381,(02) 8231 2381,+63282312381
Poland,POL,Polish,pl,HQ,+48 22 263 02 76,22 263 02 76,+48222630276
Poland,POL,Polish,pl,Regus,+48 22 263 97 78,22 263 97 78,+48222639778
Poland,POL,Polish,pl,Spaces,+48 22 263 97 92,22 263 97 92,+48222639792
Portugal,PRT,Portuguese (Portugal),pt-PT,Regus,+351 21 020 1877,21 020 1877,+351210201877
Portugal,PRT,Portuguese (Portugal),pt-PT,Spaces,+351 21 145 1752,21 145 1752,+351211451752
Puerto Rico,PRI,Spanish (LATAM),es-mx,Regus,+1 787-705-4329,(787) 705-4329,+17877054329
Qatar,QAT,Arabic,ar,Regus,+974 4426 7345,4426 7345,+97444267345
Romania,ROU,Romanian,ro,Regus,+40 31 229 7305,031 229 7305,+40312297305
Romania,ROU,Romanian,ro,Spaces,+40 31 229 7306,031 229 7306,+40312297306
Russia,RUS,Russian,ru,Regus,+7 499 955-23-00,8 (499) 955-23-00,+74999552300
Saudi Arabia,SAU,Arabic,ar,Regus,+966 11 834 3570,011 834 3570,+966118343570
Saudi Arabia,SAU,Arabic,ar,Spaces,+966 11 834 3579,011 834 3579,+966118343579
Senegal,SEN,French,fr,Regus,+221 33 839 70 26,33 839 70 26,+221338397026
Serbia,SRB,Serbian,sr,HQ,+381 11 3216848,011 3216848,+381113216848
Serbia,SRB,Serbian,sr,Regus,+381 11 7357365,011 7357365,+381117357365
Serbia,SRB,Serbian,sr,Signature,+381 11 4404255,011 4404255,+381114404255
Serbia,SRB,Serbian,sr,Spaces,+381 11 3216806,011 3216806,+381113216806
Singapore,SGP,English (GB),en-gb,Regus,+65 3163 7993,3163 7993,+6531637993
Singapore,SGP,English (GB),en-gb,Spaces,+65 3163 8030,3163 8030,+6531638030
Slovakia,SVK,Slovak,sk,HQ,+421 2/333 296 45,02/333 296 45,+421233329645
Slovakia,SVK,Slovak,sk,Regus,+421 2/333 291 18,02/333 291 18,+421233329118
Slovenia,SVN,Slovenian,sl,Regus,+386 1 227 60 00,(01) 227 60 00,+38612276000
South Africa,ZAF,English (GB),en-gb,HQ,+27 10 109 5703,010 109 5703,+27101095703
South Africa,ZAF,English (GB),en-gb,IWG,+27 80 001 4561,080 001 4561,+27800014561
South Africa,ZAF,English (GB),en-gb,Regus,+27 21 300 4366,021 300 4366,+27213004366
South Africa,ZAF,English (GB),en-gb,Spaces,+27 21 300 4367,021 300 4367,+27213004367
South Korea,KOR,Korean,ko,HQ,+82 2-6105-4124,02-6105-4124,+82261054124
South Korea,KOR,Korean,ko,Regus,+82 2-3498-6141,02-3498-6141,+82234986141
South Korea,KOR,Korean,ko,Spaces,+82 2-3498-6142,02-3498-6142,+82234986142
Spain,ESP,Spanish (Spain),es-es,HQ,+34 917 93 67 48,917 93 67 48,+34917936748
Spain,ESP,Spanish (Spain),es-es,IWG,+34 917 93 67 57,917 93 67 57,+34917936757
Spain,ESP,Spanish (Spain),es-es,Regus,+34 917 93 67 40,917 93 67 40,+34917936740
Spain,ESP,Spanish (Spain),es-es,Spaces,+34 917 93 67 41,917 93 67 41,+34917936741
Sri Lanka,LKA,English (GB),en-gb,Regus,+94 72 098 7099,072 098 7099,+94720987099
Sri Lanka,LKA,English (GB),en-gb,Spaces,+94 72 098 7097,072 098 7097,+94720987097
Sweden,SWE,Swedish,sv,No18,+46 8 525 007 47,08-525 007 47,+46852500747
Sweden,SWE,Swedish,sv,Regus,+46 8 403 049 33,08-403 049 33,+46840304933
Sweden,SWE,Swedish,sv,Spaces,+46 8 403 049 36,08-403 049 36,+46840304936
Switzerland,CHE,German,de,IWG,+41 44 551 98 29,044 551 98 29,+41445519829
Switzerland,CHE,English (GB),en-gb,IWG,+41 22 551 04 32,022 551 04 32,+41225510432
Switzerland,CHE,French,fr,IWG,+41 22 593 97 94,022 593 97 94,+41225939794
Switzerland,CHE,Italian,it,IWG,+41 91 261 32 93,091 261 32 93,+41912613293
Switzerland,CHE,German,de,No18,+41 44 551 98 04,044 551 98 04,+41445519804
Switzerland,CHE,English (GB),en-gb,No18,+41 22 551 04 33,022 551 04 33,+41225510433
Switzerland,CHE,French,fr,No18,+41 22 593 97 86,022 593 97 86,+41225939786
Switzerland,CHE,Italian,it,No18,+41 91 261 32 35,091 261 32 35,+41912613235
Switzerland,CHE,German,de,Regus,+41 44 551 98 05,044 551 98 05,+41445519805
Switzerland,CHE,English (GB),en-gb,Regus,+41 22 506 89 72,022 506 89 72,+41225068972
Switzerland,CHE,French,fr,Regus,+41 22 506 89 82,022 506 89 82,+41225068982
Switzerland,CHE,Italian,it,Regus,+41 91 261 32 98,091 261 32 98,+41912613298
Switzerland,CHE,German,de,Signature,+41 44 551 98 10,044 551 98 10,+41445519810
Switzerland,CHE,English (GB),en-gb,Signature,+41 22 551 04 30,022 551 04 30,+41225510430
Switzerland,CHE,French,fr,Signature,+41 22 506 89 91,022 506 89 91,+41225068991
Switzerland,CHE,Italian,it,Signature,+41 91 261 32 90,091 261 32 90,+41912613290
Switzerland,CHE,German,de,Spaces,+41 44 551 98 22,044 551 98 22,+41445519822
Switzerland,CHE,English (GB),en-gb,Spaces,+41 22 551 04 05,022 551 04 05,+41225510405
Switzerland,CHE,French,fr,Spaces,+41 22 506 89 89,022 506 89 89,+41225068989
Switzerland,CHE,Italian,it,Spaces,+41 91 261 32 30,091 261 32 30,+41912613230
Taiwan,TWN,Chinese (Taiwan),zh-tw,Regus,+886 2 8729 9233,02 8729 9233,+886287299233
Taiwan,TWN,Chinese (Taiwan),zh-tw,Spaces,+886 2 7737 4034,02 7737 4034,+886277374034
Tajikistan,TJK,Russian,ru,Regus,+992 44 600 4488,44 600 4488,+992446004488
Tanzania,TZA,English (GB),en-gb,Regus,+255 22 219 8049,022 219 8049,+255222198049
Thailand,THA,Thai,th-th,HQ,+66 2 844 9248,02 844 9248,+6628449248
Thailand,THA,Thai,th-th,Regus,+66 2 844 9490,02 844 9490,+6628449490
Thailand,THA,Thai,th-th,Spaces,+66 2 844 9495,02 844 9495,+6628449495
Togo,TGO,French,fr,Regus,+228 22 25 62 62,22 25 62 62,+22822256262
Trinidad and Tobago,TTO,English (US),en-us,Regus,+1 868-224-5985,(868) 224-5985,+18682245985
Tunisia,TUN,French,fr,Regus,+216 70 022 677,70 022 677,+21670022677
Turkey,TUR,Turkish,tr-tr,Regus,+90 212 900 16 58,(0212) 900 16 58,+902129001658
UAE,ARE,Arabic,ar,Regus,+971 4 313 2503,04 313 2503,+97143132503
Uganda,UGA,English (GB),en-gb,Regus,+256 31 2531633,031 2531633,+256312531633
Ukraine,UKR,Ukrainian,uk,Regus,+380 44 383 4403,044 383 4403,+380443834403
Ukraine,UKR,Ukrainian,uk,Spaces,+380 89 323 9400,089 323 9400,+380893239400
United Kingdom,GBR,English (GB),en-gb,Basepoint,+44 800 640 6271,0800 640 6271,+448006406271
United Kingdom,GBR,English (GB),en-gb,HQ,+44 800 640 6270,0800 640 6270,+448006406270
United Kingdom,GBR,English (GB),en-gb,IWG,+44 800 640 6272,0800 640 6272,+448006406272
United Kingdom,GBR,English (GB),en-gb,Regus,+44 800 279 7131,0800 279 7131,+448002797131
United Kingdom,GBR,English (GB),en-gb,Signature,+44 800 640 6256,0800 640 6256,+448006406256
United Kingdom,GBR,English (GB),en-gb,Spaces,+44 800 279 7132,0800 279 7132,+448002797132
Uruguay,URY,Spanish (LATAM),es-mx,Regus,+598 2623 6666,2623 6666,+59826236666
USA,USA,English (US),en-us,HQ,+1 800-281-3242,(800) 281-3242,+18002813242
USA,USA,English (US),en-us,IWG,+1 833-990-1551,(833) 990-1551,+18339901551
USA,USA,English (US),en-us,No18,+1 800-274-7345,(800) 274-7345,+18002747345
USA,USA,English (US),en-us,Regus,+1 800-633-4237,(800) 633-4237,+18006334237
USA,USA,English (US),en-us,Spaces,+1 855-217-7205,(855) 217-7205,+18552177205
Venezuela,VEN,Spanish (LATAM),es-mx,Regus,+58 212-9056341,0212-9056341,+582129056341
Vietnam,VNM,Vietnamese,vi-vn,Regus,+84 24 3266 3195,024 3266 3195,+842432663195
Vietnam,VNM,Vietnamese,vi-vn,Spaces,+84 24 3266 3196,024 3266 3196,+842432663196
Zambia,ZMB,English (GB),en-gb,Regus,+260 211 388 742,0211 388 742,+260211388742
Zimbabwe,ZWE,English (GB),en-gb,Regus,27213004366,27213004366,+27213004366
